Campaign,Campaign Type,Campaign Status,Budget,Budget Type,Bid Strategy Type,Networks,Languages,Location,Location Type,Ad Schedule,Device,Bid Adjustment,Ad Rotation,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Status,Ad Type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Asset Type,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Sitelink Final URL,Callout Text,Structured Snippet Header,Structured Snippet Values
Altru – Restorative – Search,Search,Paused,13.00,Daily,Maximize Conversions,Google search,en,"Salt Lake County, Utah; 5 mi around Murray, Utah",Presence,"Tue 10:00-20:00; Wed 09:00-21:00; Thu 09:00-21:00; Fri 09:00-21:00; Sat 09:00-16:00",,,Optimize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Natural Face Lift,,,non surgical face lift slc,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Natural Face Lift,,,face lift without surgery utah,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Natural Face Lift,,,facial without injections,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,free,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,training,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,course,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,school,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,DIY,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,tutorial,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,male,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,man,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,tmj,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,surgery,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,surgical,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,plastic surgeon,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,thread lift,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,PDO,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,FaceTite,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,Sofwave,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,Ultherapy,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,filler,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,body,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,back,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,neck pain,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,prenatal,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,lash,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,,,,brow,Negative Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,,,,,Enabled,Responsive search ad,Buccal Facial Release — SLC,1,Regenerative Facial Work,1,Visible Change Without Needles,2,Fascia-Led Facial Work,Lift Without Needles,Sculpt Without Surgery,The Face Has Architecture,"Change The Structure, Not The Surface",Book Your Restorative Facial,No Botox. No Downtime.,Visible Lift In One Session,Inside-The-Mouth Facial Release,Where Anti-Aging Ends,"Educated, Hands-First Skincare",Salt Lake's Fascia Facial,"Buccal + fascia release that moves structure beneath the skin. Visible lift, no needles.","We treat the face the way good bodyworkers treat the body — fascia first. Educated, results-driven facial work in Salt Lake.",Most facials work on the surface. Ours works on the architecture underneath. Buccal + fascia release in one session.,The regenerative alternative to injections. Premium facial release in Salt Lake County. Book online — same-week availability.,regenerative,facial,https://altru-radiance.pages.dev/services/restorative-buccal-release,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Fascia Facial,,,,,Enabled,Responsive search ad,Buccal Facial Release — SLC,1,Regenerative Facial Work,1,Visible Change Without Needles,2,Fascia-Led Facial Work,Lift Without Needles,Sculpt Without Surgery,The Face Has Architecture,"Change The Structure, Not The Surface",Book Your Restorative Facial,No Botox. No Downtime.,Visible Lift In One Session,Inside-The-Mouth Facial Release,Where Anti-Aging Ends,"Educated, Hands-First Skincare",Salt Lake's Fascia Facial,"Buccal + fascia release that moves structure beneath the skin. Visible lift, no needles.","We treat the face the way good bodyworkers treat the body — fascia first. Educated, results-driven facial work in Salt Lake.",Most facials work on the surface. Ours works on the architecture underneath. Buccal + fascia release in one session.,The regenerative alternative to injections. Premium facial release in Salt Lake County. Book online — same-week availability.,regenerative,facial,https://altru-radiance.pages.dev/services/restorative-buccal-release,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Natural Face Lift,,,,,Enabled,Responsive search ad,Buccal Facial Release — SLC,1,Regenerative Facial Work,1,Visible Change Without Needles,2,Fascia-Led Facial Work,Lift Without Needles,Sculpt Without Surgery,The Face Has Architecture,"Change The Structure, Not The Surface",Book Your Restorative Facial,No Botox. No Downtime.,Visible Lift In One Session,Inside-The-Mouth Facial Release,Where Anti-Aging Ends,"Educated, Hands-First Skincare",Salt Lake's Fascia Facial,"Buccal + fascia release that moves structure beneath the skin. Visible lift, no needles.","We treat the face the way good bodyworkers treat the body — fascia first. Educated, results-driven facial work in Salt Lake.",Most facials work on the surface. Ours works on the architecture underneath. Buccal + fascia release in one session.,The regenerative alternative to injections. Premium facial release in Salt Lake County. Book online — same-week availability.,regenerative,facial,https://altru-radiance.pages.dev/services/restorative-buccal-release,,,,,,,,
